Должность,Работодатель,ЗП от (т.р.),ЗП до (т.р.),Средний совокупный доход при графике 2/2 по 12 часов,В час,"Длительность 
смены","Требуемый
опыт",Труд-во,График,"Частота 
выплат",Льготы,Обязаности,Ссылка
Бариста,Qatar-Russia,,,,,,От 3 до 6 лет,ТК,5/2,,"форма, кофе","Приготовление и подача кофе, чая, свежевыжатых соков и других напитков по рецептуре кафе. Работа с профессиональной техникой (автоматическая кофемашина, блендер, соковыжималка, гриль). Поддержание чистоты и порядка в рабочей зоне и зоне приёма гостей. Общение с дипломатами и обеспечение высокого уровня сервиса. Соблюдение внутренних правил и протокола организации.",https://hh.ru/vacancy/124882615
Бариста OnePriceCoffee в ТЦ Ривьера,Академия Максимус,59.0,,,,,Нет опыта,ТК,"2/2, 3/2, 4/2",,"форма, кофе","ONE PRICE COFFEE - самая быстро развивающаяся сеть кофеен формата &quot;Coffee to Go&quot;. Работая у нас, Вы сможете получить бесценный опыт приготовления напитков, который пригодится не только в работе, но и в повседневной жизни ✅Мы предлагаем: Официальное трудоустройство Обучения мастерству бариста (оплачиваемое с нашей стороны) График 2/2; 3/2; 4/2 на ваш выбор по 6,8,9 часов Полностью &quot;белая&quot; заработная плата Реальная возможность роста до старшего бариста и управляющего! Подбираем ближайшую к месту жительства кофейню Дружный коллектив ✅Что нужно делать? Готовить самые вкусные напитки Консультировать наших гостей по ассортименту Соблюдать стандарты обслуживания Работать с кассой Поддерживать чистоту в кофейне",https://hh.ru/vacancy/121502242
Бариста,ПРЕМИУМСАН,,5.0,,,,От 1 года до 3 лет,ТК,2/2,Еженедельно,"обучение, кофе, чай","настройка помола. -приготовление соков. -продажа кондитерских изделий. -приемка товаров, контроль сроков годности, участие в еженедельной сверке. - поддержание чистоты на рабочем...",https://hh.ru/vacancy/124768781
Шеф-бариста,"Хорсъ, Кофейный дом",,,,,,От 1 года до 3 лет,ТК,Полный день,,кофе,Управлять корпоративной кофейней и руководить командой бариста; Разрабатывать и внедрять в меню новые позиции и сезонные предложения; Вести внутреннюю отчетность и документооборот; Организовывать и проводить тренинги для сотрудников.,https://hh.ru/vacancy/124833057
Бариста,ГРУППА КОМПАНИЙ МЕРИДИАН,75.0,85.0,,,,От 1 года до 3 лет,ТК,5/2,2 раза в месяц,"питание, бесплатное питание, обучение, кофе, чай","Внимательное и вежливое обслуживание гостей. Приготовление авторских кофейных, чайных напитков и коктейлей. Работа на кассе. Создание дружеской атмосферы для гостей. Требования : Опыт работы в аналогичной должности от 6 мес. Позитивность и энергичность. Наличие медицинской книжки или готовность её сделать. Если ты любишь кофе так же как мы! Если ты активный и хочешь работать в дружеской атмосфере - это работа для тебя! Ждём тебя в своей команде! Звони, отправляй резюме!",https://hh.ru/vacancy/121321421
Бариста-Продавец в табачный магазин,Ашкуди.рф,4.2,6.3,,,,Нет опыта,ТК,"5/2, 4/3",Еженедельно,"бонус, бонусы, кофе","Продажа электронок, сигарет и других табачных изделий Приготовление и продажа кофе Выкладка товара из запасников Поддержание чистоты (протирать полки, витрины, кофемашину перед сменой, во время и при закрытии смены) Контроль заканчивающихся товаров Большинство сотрудников после нескольких месяцев работы получают возможность поработать в других магазинах сети. У нас остаются работать на несколько лет, если нет косяков. Если вам подходят условия и требования - сразу откликайтесь , познакомимся лично и предложим взять тестовую смену с полной оплатой.",https://hh.ru/vacancy/124585854
Бариста-кассир в Даблби,Даблби,70.0,,,,,Нет опыта,ТК,Полный день,,"форма, обучение, кофе","Приготовление кофейных напитков на основе экстрактов (работа без кофемашины, всё просто и понятно). Работа с кассой: расчёт гостей, ведение учётных...",https://hh.ru/vacancy/124011978
"Бариста Surf Coffee, Москва",Surf Coffee,60.0,80.0,3600.0,300.0,12.0,Нет опыта,ТК,Полный день,,"питание, форма, униформа, премии, бонус, обучение, кофе","Приготовление напитков по стандартам компании Общение с гостями в формате дружеской беседы Работа с кассой и соблюдение чек-листов Участие в жизни кофейни, командных встречах и предложениях по улучшению Surf Coffee® — это больше, чем работа. Это сообщество, стиль жизни и возможности. Если хочешь расти, развиваться и быть частью команды, которая двигается вперёд — мы ждём именно тебя. We Are Greater Than I",https://hh.ru/vacancy/125050680
Бариста в кофейню,Elmix Coffee,0.4,0.4,,,,Нет опыта,ТК,5/2,,"кофе, чай","Соблюдение стандартов обслуживания и сервиса Приготовление кофейных и чайных напитков по тех. карте Работа с продукцией витрины (выпечка, готовые полуфабрикаты, десерты) Работа с кассой Соблюдение чистоты и правил безопасности питания",https://hh.ru/vacancy/125043502
Бариста в Marta`s Deli,ОРГАНИК ГОЛЬФ,130.0,,8000.0,666.6666666666666,12.0,От 1 года до 3 лет,ТК,2/2,,"питание, форма, униформа, бонус, обучение, кофе, чай","Готовить кофе, чай и другие безалкогольные напитки. Обслуживать гостей и обеспечивать высокий уровень сервиса по стандартам компании. Контролировать запасы на...",https://hh.ru/vacancy/124950773
Бариста в Даблби,Даблби,70.0,95.0,,,,Нет опыта,ТК,Полный день,,"обучение, кофе, чай",Помощь в подготовке к соревнованиям (на волонтёрских началах). От Вас: Поддержание комфортной атмосферы с гостями и коллегами. Приготовление напитков по...,https://hh.ru/vacancy/124011927
Старший бариста,BREW & VIBE,80.0,110.0,,,,От 1 года до 3 лет,ТК,"5/2, 2/2",2 раза в месяц,"бонус, бонусы, обучение, кофе",Организация работы за баром и оптимизация процессов работы. Контролировать работу <highlighttext>бариста</highlighttext> и мотивировать команду на. Формировать команду <highlighttext>бариста</highlighttext> - проводить собеседование...,https://hh.ru/vacancy/124835927
Бариста,Артисан Рус,90.0,120.0,,,,Нет опыта,ТК,"2/2, 3/3, 5/2",,"питание, бесплатное питание, форма, униформа, кофе","Приготовление напитков по стандартам specialty coffee; Общение с гостями, создание тёплой и дружелюбной атмосферы; Работа с кассой, открытие и закрытие смены; Поддержание чистоты и порядка на рабочем месте; Соблюдение стандартов кофейни.",https://hh.ru/vacancy/124971465
Старший тренер - бариста сети кофеен,Иванова О.П,,,,,,От 1 года до 3 лет,ТК,Полный день,,"форма, обучение, кофе, чай","Старший тренер-бариста отвечает за обучение всех бариста и тренеров-бариста нашей сети; Изначально сам проходит обучение в управляющей компании и сдает сертификацию; Создает систему обучения с нуля на базе рекомендаций управляющей компании и в дальнейшем ее совершенствует; Создает, вдохновляет, мотивирует, контролирует команду тренеров, бариста кофеен для достижения высоких результатов; Отвечает за качество продукта и сервис в наших кофейнях; Работает за баром в кофейнях сети, чтобы быть ролевой моделью для команды.",https://hh.ru/vacancy/124677799
Продавец-бариста в команду FRENCH BAKERY,FRENCH BAKERY,,140.0,,,,Нет опыта,ТК,Полный день,2 раза в месяц,"питание, бесплатное питание, скидки, обучение, кофе","Приготовление кофе и других напитков по стандартам компании Обслуживание гостей и создание приятной атмосферы Продажа свежей выпечки и кондитерских изделий Поддержание порядка на рабочем месте Работа с кассой и ведение отчетности Преимущества работы у нас: Поддержка на всех этапах работы Возможность профессионального роста и обучения Скидки на продукцию кофейни Подберем для ВАС место работы ближе к дому Стань частью команды FRENCH BAKERY SeDelice, откликайся на вакансию — мы обязательно ответим :)",https://hh.ru/vacancy/124702934
